departCity,arriveCity
Denver,Frankfurt
Frankfurt,Los Angeles
Los Angeles,Paris
Paris,Portland
Portland,San Francisco
San Francisco,Seattle
Seattle,Sydney
Sydney,Zurich
Zurich,London
London,Denver
Denver,Frankfurt
Frankfurt,Los Angeles
Los Angeles,Paris
Paris,Portland
Portland,San Francisco
San Francisco,Seattle
Seattle,Sydney
Sydney,Zurich
Zurich,London
London,Denver
Denver,Frankfurt
Frankfurt,Los Angeles
Los Angeles,Paris
Paris,Portland
Portland,San Francisco
San Francisco,Seattle
Seattle,Sydney
Sydney,Zurich
Zurich,London
London,Denver
